Месец,Број/Површина ( во m2 ),"Видови објекти од високоградба, број/површина ( во m2 )",value
2011М09,Број,123 Згради во трговијата на големо и на мало,15
2011М09,Број,125 Индустриски згради и складишта,14
2011М09,Број,127 Други нестанбени згради,2
2011М10,Број,11 Станови во станбени објекти (згради),507
2011М10,Број,111 Станови во објекти (згради) со еден стан,79
2011М10,Број,112 Станови во објекти (згради) со два и повеќе стана,428
2011М10,Број,12 Нестанбени згради,34
2011М10,Број,121 Хотели и слични згради,1
2011М10,Број,122 Деловни згради,2
2011М10,Број,123 Згради во трговијата на големо и на мало,8
2011М10,Број,124 Згради за сообраќај и други комуникации,2
2011М10,Број,125 Индустриски згради и складишта,17
2011М10,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2011М10,Број,127 Други нестанбени згради,2
2011М11,Број,11 Станови во станбени објекти (згради),496
2011М11,Број,111 Станови во објекти (згради) со еден стан,64
2011М11,Број,112 Станови во објекти (згради) со два и повеќе стана,432
2011М11,Број,12 Нестанбени згради,42
2011М11,Број,122 Деловни згради,1
2011М11,Број,123 Згради во трговијата на големо и на мало,16
2011М11,Број,124 Згради за сообраќај и други комуникации,2
2011М11,Број,125 Индустриски згради и складишта,21
2011М11,Број,127 Други нестанбени згради,2
2011М12,Број,11 Станови во станбени објекти (згради),618
2011М12,Број,111 Станови во објекти (згради) со еден стан,76
2011М12,Број,112 Станови во објекти (згради) со два и повеќе стана,542
2011М12,Број,12 Нестанбени згради,30
2011М12,Број,121 Хотели и слични згради,2
2011М12,Број,123 Згради во трговијата на големо и на мало,7
2011М12,Број,124 Згради за сообраќај и други комуникации,2
2011М12,Број,125 Индустриски згради и складишта,12
2011М12,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",4
2011М12,Број,127 Други нестанбени згради,3
2012М01,Број,11 Станови во станбени објекти (згради),475
2012М01,Број,111 Станови во објекти (згради) со еден стан,46
2012М01,Број,112 Станови во објекти (згради) со два и повеќе стана,429
2012М01,Број,113 Станови на заедници,2
2012М01,Број,12 Нестанбени згради,27
2012М01,Број,123 Згради во трговијата на големо и на мало,12
2012М01,Број,124 Згради за сообраќај и други комуникации,2
2012М01,Број,125 Индустриски згради и складишта,7
2012М01,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2012М01,Број,127 Други нестанбени згради,4
2012М02,Број,11 Станови во станбени објекти (згради),442
2012М02,Број,111 Станови во објекти (згради) со еден стан,54
2012М02,Број,112 Станови во објекти (згради) со два и повеќе стана,388
2012М02,Број,12 Нестанбени згради,29
2012М02,Број,121 Хотели и слични згради,1
2012М02,Број,122 Деловни згради,1
2012М02,Број,123 Згради во трговијата на големо и на мало,12
2012М02,Број,125 Индустриски згради и складишта,12
2012М02,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2012М02,Број,127 Други нестанбени згради,2
2012М03,Број,11 Станови во станбени објекти (згради),512
2012М03,Број,111 Станови во објекти (згради) со еден стан,58
2012М03,Број,112 Станови во објекти (згради) со два и повеќе стана,454
2012М03,Број,12 Нестанбени згради,33
2012М03,Број,121 Хотели и слични згради,2
2012М03,Број,123 Згради во трговијата на големо и на мало,13
2012М03,Број,124 Згради за сообраќај и други комуникации,1
2012М03,Број,125 Индустриски згради и складишта,14
2012М03,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2012М03,Број,127 Други нестанбени згради,1
2012М04,Број,11 Станови во станбени објекти (згради),442
2012М04,Број,111 Станови во објекти (згради) со еден стан,57
2012М04,Број,112 Станови во објекти (згради) со два и повеќе стана,385
2012М04,Број,12 Нестанбени згради,31
2012М04,Број,121 Хотели и слични згради,4
2012М04,Број,123 Згради во трговијата на големо и на мало,12
2012М04,Број,124 Згради за сообраќај и други комуникации,2
2012М04,Број,125 Индустриски згради и складишта,7
2012М04,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",3
2012М04,Број,127 Други нестанбени згради,3
2012М05,Број,11 Станови во станбени објекти (згради),504
2012М05,Број,111 Станови во објекти (згради) со еден стан,94
2012М05,Број,112 Станови во објекти (згради) со два и повеќе стана,410
2012М05,Број,12 Нестанбени згради,26
2012М05,Број,121 Хотели и слични згради,2
2012М05,Број,122 Деловни згради,2
2012М05,Број,123 Згради во трговијата на големо и на мало,7
2012М05,Број,124 Згради за сообраќај и други комуникации,2
2012М05,Број,125 Индустриски згради и складишта,10
2012М05,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2012М05,Број,127 Други нестанбени згради,2
2012М06,Број,11 Станови во станбени објекти (згради),629
2012М06,Број,111 Станови во објекти (згради) со еден стан,66
2012М06,Број,112 Станови во објекти (згради) со два и повеќе стана,563
2012М06,Број,12 Нестанбени згради,36
2012М06,Број,123 Згради во трговијата на големо и на мало,7
2012М06,Број,125 Индустриски згради и складишта,26
2012М06,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2012М06,Број,127 Други нестанбени згради,2
2012М07,Број,11 Станови во станбени објекти (згради),1540
2012М07,Број,111 Станови во објекти (згради) со еден стан,74
2012М07,Број,112 Станови во објекти (згради) со два и повеќе стана,1466
2012М07,Број,113 Станови на заедници,1
2012М07,Број,12 Нестанбени згради,29
2012М07,Број,121 Хотели и слични згради,1
2012М07,Број,122 Деловни згради,1
2012М07,Број,123 Згради во трговијата на големо и на мало,8
2012М07,Број,124 Згради за сообраќај и други комуникации,1
2012М07,Број,125 Индустриски згради и складишта,11
2012М07,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
